제목,날짜,게스트
배철수의 음악캠프,2024-05-30,팝칼럼니스트 임진모
배철수의 음악캠프,2024-05-29,Elijah Woods
배철수의 음악캠프,2024-05-28,배순탁&신혜림
배철수의 음악캠프,2024-05-27,김세윤
배철수의 음악캠프,2024-05-26,선데이스페셜 '그래미를 받지 못할 거장들'
배철수의 음악캠프,2024-05-25,전주현
배철수의 음악캠프,2024-05-24,옥상달빛
배철수의 음악캠프,2024-05-23,팝칼럼니스트 임진모
배철수의 음악캠프,2024-05-22,실시간 신청곡
배철수의 음악캠프,2024-05-21,배순탁&신혜림
배철수의 음악캠프,2024-05-20,김세윤
배철수의 음악캠프,2024-05-19,선데이스페셜 '그래미를 받지 못할 거장들'
배철수의 음악캠프,2024-05-18,전주현
배철수의 음악캠프,2024-05-17,박종성&김형석
배철수의 음악캠프,2024-05-16,팝칼럼니스트 임진모
배철수의 음악캠프,2024-05-15,실시간 신청곡
